k,P(success_N_plus_k_given_success_N),P(loss_N_plus_k_given_loss_N)
-10,0.9997210080907654,0.0
-9,0.9997210210629097,0.0
-8,0.9997210340338478,0.0
-7,0.9997210470035799,0.0
-6,0.999721059972106,0.0
-5,0.9997210729394264,0.0
-4,0.9997210859055411,0.0
-3,0.9997210988704505,0.0
-2,0.9997211118341545,0.0
-1,0.9997211247966535,0.0
0,1.0,1.0
1,0.9997211247966535,0.0
2,0.9997211118341545,0.0
3,0.9997210988704505,0.0
4,0.9997210859055411,0.0
5,0.9997210729394264,0.0
6,0.999721059972106,0.0
7,0.9997210470035799,0.0
8,0.9997210340338478,0.0
9,0.9997210210629097,0.0
10,0.9997210080907654,0.0
