k,P(success_N_plus_k_given_success_N),P(loss_N_plus_k_given_loss_N)
-10,0.8545872588604756,0.1558018252933507
-9,0.852744911119834,0.14504563233376794
-8,0.8533699674778513,0.14895697522816168
-7,0.8517521726941407,0.1395045632333768
-6,0.8537228078044404,0.15091264667535853
-5,0.8541795144923474,0.15352020860495436
-4,0.8546280204070191,0.1560768980123819
-3,0.8548043502634824,0.15705441511893126
-2,0.8543558694920955,0.1543973941368078
-1,0.8555891916134096,0.1615109084988603
0,1.0,1.0
1,0.8556371587150305,0.16145833333333334
2,0.8544516707782014,0.154296875
3,0.8549481356882535,0.15690104166666666
4,0.8547717842323651,0.15592447916666666
5,0.854371109740369,0.1533203125
6,0.8539143113503813,0.15071614583333334
7,0.8519432449105491,0.13932291666666666
8,0.8535614133482894,0.14876302083333334
9,0.8528883903533371,0.14490394008466298
10,0.8547310561444837,0.1556496255291436
