target,interval_seconds,packet_size_bytes,sent,received,duration_seconds,delivery_rate,request_rate_mbps,reply_rate_mbps
baidu,0.2,1000,40,40,8.007,1.0,0.03996503059822656,0.03996503059822656
baidu,0.1,1000,80,80,8.234,1.0,0.07772649987855235,0.07772649987855235
baidu,0.05,1000,160,160,8.471,1.0,0.15110376578916304,0.15110376578916304
baidu,0.02,1000,400,400,8.577,1.0,0.3730908242975399,0.3730908242975399
baidu,0.01,1000,800,800,12.701,1.0,0.5038973309188253,0.5038973309188253
1111,0.2,1000,40,40,8.102,1.0,0.03949642063687978,0.03949642063687978
1111,0.1,1000,80,80,8.205,1.0,0.07800121876904326,0.07800121876904326
1111,0.05,1000,160,160,8.761,1.0,0.14610204314575964,0.14610204314575964
1111,0.02,1000,400,400,9.571,1.0,0.3343433288057674,0.3343433288057674
1111,0.01,1000,800,800,11.53,1.0,0.5550737207285342,0.5550737207285342
canterbury,0.2,1000,40,36,8.278,0.9,0.03865668035757429,0.03479101232181686
canterbury,0.1,1000,80,72,8.317,0.9,0.07695082361428399,0.06925574125285561
canterbury,0.05,1000,160,142,8.487,0.8875,0.15081889949334276,0.1338517733003417
canterbury,0.02,1000,400,346,9.32,0.865,0.34334763948497854,0.29699570815450643
canterbury,0.01,1000,800,693,12.737,0.86625,0.5024731098374814,0.4352673313967182
